internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22691529,Ptilinopus hyogastrus,"Ptilinopus hyogastra hyogastra Sibley and Monroe (1990, 1993)",Ptilinopus hyogastra,hyogastra,"Sibley and Monroe (1990, 1993)",,
22691554,Ptilinopus nainus,Ptilinopus naina,Ptilinopus,naina,,,
22691558,Ptilinopus melanospilus,"Ptilinopus melanospila melanospila Sibley and Monroe (1990, 1993)",Ptilinopus melanospila,melanospila,"Sibley and Monroe (1990, 1993)",,
22691573,Chrysoena victor,"Ptilinopus victor (Gould, 1872)",Ptilinopus,victor,"(Gould, 1872)",,
22691577,Chrysoena luteovirens,"Ptilinopus luteovirens (Hombron & Jacquinot, 1841)",Ptilinopus,luteovirens,"(Hombron & Jacquinot, 1841)",,
22691581,Chrysoena viridis,"Ptilinopus layardi Elliot, 1878",Ptilinopus,layardi,"Elliot, 1878",,
22691601,Alectroenas nitidissimus,"Alectroenas nitidissima (Scopoli, 1786) [orth. error]",Alectroenas,nitidissima,"(Scopoli, 1786) [orth. error]",,
22691605,Alectroenas pulcherrimus,Alectroenas pulcherrima,Alectroenas,pulcherrima,,,
22691960,Lophotis gindiana,"Eupodotis gindiana Oustalet, 1881",Eupodotis,gindiana,"Oustalet, 1881",,
22691965,Lophotis ruficrista,"Eupodotis ruficrista (Smith, 1836)",Eupodotis,ruficrista,"(Smith, 1836)",,
22691970,Afrotis afraoides,"Eupodotis afraoides (Smith, 1831)",Eupodotis,afraoides,"(Smith, 1831)",,
22691975,Afrotis afra,"Eupodotis afra (Linnaeus, 1766)",Eupodotis,afra,"(Linnaeus, 1766)",,
22691980,Heterotetrax rueppelii,"Eupodotis rueppelii (Wahlberg, 1856)",Eupodotis,rueppelii,"(Wahlberg, 1856)",,
22691986,Heterotetrax vigorsii,"Eupodotis vigorsii (Smith, 1831)",Eupodotis,vigorsii,"(Smith, 1831)",,
22691991,Heterotetrax humilis,"Eupodotis humilis (Blyth, 1856)",Eupodotis,humilis,"(Blyth, 1856)",,
22692007,Lissotis melanogaster,"Eupodotis melanogaster (Rüppell, 1835)",Eupodotis,melanogaster,"(Rüppell, 1835)",,
22692011,Lissotis hartlaubii,"Eupodotis hartlaubii (Heuglin, 1863)",Eupodotis,hartlaubii,"(Heuglin, 1863)",,
22692064,Grus antigone,"Antigone antigone (Linnaeus, 1758)",Antigone,antigone,"(Linnaeus, 1758)",,
22692064,Grus antigone,"Ardea antigone Linnaeus, 1758",Ardea,antigone,"Linnaeus, 1758",,
