assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130253505,22704097,Ptilotula penicillata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptilotula,penicillata,,,,"(Gould, 1837)",Least Concern,,3.1,Stable,Global
130253838,22704103,Xanthotis polygrammus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Xanthotis,polygrammus,,,,"(Gray, 1861)",Least Concern,,3.1,Stable,Global
130254111,22704119,Meliphacator provocator,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Meliphacator,provocator,,,,"(Layard, 1875)",Least Concern,,3.1,Stable,Global
130254377,22704122,Oreornis chrysogenys,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Oreornis,chrysogenys,,,,"van Oort, 1910",Least Concern,,3.1,Stable,Global
130254715,22704161,Pycnopygius ixoides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Pycnopygius,ixoides,,,,"(Salvadori, 1878)",Least Concern,,3.1,Stable,Global
130254957,22704164,Pycnopygius cinereus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Pycnopygius,cinereus,,,,"(Sclater, 1873)",Least Concern,,3.1,Stable,Global
130255796,22704151,Melithreptus brevirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melithreptus,brevirostris,,,,"(Vigors & Horsfield, 1827)",Least Concern,,3.1,Stable,Global
130256312,22704233,Ptiloprora plumbea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,plumbea,,,,"(Salvadori, 1894)",Least Concern,,3.1,Stable,Global
130256530,22704236,Ptiloprora meekiana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,meekiana,,,,"(Rothschild & Hartert, 1907)",Least Concern,,3.1,Stable,Global
130256755,22704239,Ptiloprora erythropleura,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,erythropleura,,,,"(Salvadori, 1876)",Least Concern,,3.1,Stable,Global
130256989,22704242,Ptiloprora mayri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,mayri,,,,"Hartert, 1930",Least Concern,,3.1,Stable,Global
130257239,22704245,Ptiloprora guisei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,guisei,,,,"(De Vis, 1894)",Least Concern,,3.1,Stable,Global
130257997,22704248,Ptiloprora perstriata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Ptiloprora,perstriata,,,,"(De Vis, 1898)",Least Concern,,3.1,Stable,Global
130258345,22704252,Melionyx fuscus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melionyx,fuscus,,,,"(De Vis, 1897)",Least Concern,,3.1,Stable,Global
130258572,22704260,Melionyx nouhuysi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melionyx,nouhuysi,,,,"(van Oort, 1910)",Least Concern,,3.1,Stable,Global
130258853,22704268,Melidectes ochromelas,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,ochromelas,,,,"(Meyer, 1875)",Least Concern,,3.1,Stable,Global
130259118,22704272,Melidectes leucostephes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,leucostephes,,,,"(Meyer, 1875)",Least Concern,,3.1,Stable,Global
130259376,22704276,Melidectes belfordi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,belfordi,,,,"(De Vis, 1890)",Least Concern,,3.1,Decreasing,Global
130259657,22704280,Melidectes rufocrissalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,rufocrissalis,,,,"(Reichenow, 1915)",Least Concern,,3.1,Decreasing,Global
130260339,22704284,Melidectes foersteri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,foersteri,,,,"(Rothschild & Hartert, 1911)",Least Concern,,3.1,Stable,Global
130260589,22704288,Melidectes torquatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melidectes,torquatus,,,,"Sclater, 1873",Least Concern,,3.1,Increasing,Global
130260917,22704292,Meliarchus sclateri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Meliarchus,sclateri,,,,"(Gray, 1870)",Least Concern,,3.1,Stable,Global
130261184,22704295,Melipotes gymnops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melipotes,gymnops,,,,"Sclater, 1873",Least Concern,,3.1,Stable,Global
130261458,22704304,Melipotes ater,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Melipotes,ater,,,,"Rothschild & Hartert, 1911",Least Concern,,3.1,Stable,Global
130261779,22704307,Myza celebensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myza,celebensis,,,,"(Meyer & Wiglesworth, 1895)",Least Concern,,3.1,Decreasing,Global
130262103,22704310,Myza sarasinorum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myza,sarasinorum,,,,"Meyer & Wiglesworth, 1895",Least Concern,,3.1,Decreasing,Global
