"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"1193",1193,"155",1.47225034802162,1.39039916737413,1.39960234839806,1.32754114474011,1.46975629448477,1.47247950191401,1.46784730635914,-1.30054602533634,-1.98330488265425,-2.1437151663273,103,82,95,81
"1194",1194,"156",1.59202856503433,1.44922793886757,1.5264654867257,1.37787734978455,1.59014868057083,1.59039909169618,1.59257296622165,-1.58456882189396,-1.2994514308234,-2.44994472431299,94,72,86,71
"1195",1195,"157",1.57600109616493,1.39622278521929,1.48486329194082,1.31399328352176,1.56817201365722,1.57658558388785,1.57742227181358,-1.86476771178667,-1.6916956778005,-2.87671953181724,84,61,74,60
"1196",1196,"158",1.89905486148811,1.86147549241983,1.794806254982,1.71665888490872,1.89850650310347,1.8997517609949,1.88244709668747,-0.307550155484,-0.964946802439623,-1.16639146455876,33,27,28,26
"1197",1197,"159",1.28167355456246,1.10298163112221,1.20091167292643,1.10298163112221,1.28057897411922,1.27939838152397,1.28032024627824,-2.84805891209178,-1.83365989373587,-2.80475698983949,48,42,45,42
"1198",1198,"160",1.21453721987629,1.03568334114618,1.20103449748554,1.03568334114618,1.21288236959588,1.21431042671602,1.21262620510697,-2.54765921451202,-0.24309379040303,-2.62706346710099,32,29,30,29
"1207",1207,"161",1.14397497702348,1.14397497702348,1.14397497702348,1.14397497702348,1.14397497702348,1.14397497702348,1.14397497702348,NA,NA,NA,50,50,50,50
"1208",1208,"162",1.30236374103504,1.30236374103504,1.30236374103504,1.30236374103504,1.30236374103504,1.30236374103504,1.30236374103504,NA,NA,NA,53,53,53,53
"1209",1209,"163",1.39925562955889,1.39925562955889,1.39925562955889,1.39925562955889,1.39925562955889,1.39925562955889,1.39925562955889,NA,NA,NA,44,44,44,44
"1210",1210,"164",1.03943438414723,1.03943438414723,1.03943438414723,1.03943438414723,1.03943438414723,1.03943438414723,1.03943438414723,NA,NA,NA,47,47,47,47
"1211",1211,"165",1.05879686154559,1.05879686154559,1.05879686154559,1.05879686154559,1.05879686154559,1.05879686154559,1.05879686154559,NA,NA,NA,43,43,43,43
"1212",1212,"166",1.12042217589115,1.10232730578354,1.11979529193364,1.10232730578354,1.1224978108931,1.12137895883122,1.11942124878854,-0.554919656892746,-0.0615861283726109,-0.445678629427987,45,43,44,43
"1214",1214,"167",0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,0,0
"1225",1225,"168",2.21609147527048,1.06422953349256,1.16153600298477,1.04833212261891,2.20171076625793,2.20505958279599,2.19782964863345,-3.88206522393706,-4.99455844807902,-3.41922946941874,56,40,47,37
"1226",1226,"169",1.83344389578827,0.992023296731405,1.0979889953002,0.973668304604352,1.83760172587227,1.82625503243534,1.81671123267933,-3.89369531301273,-4.74105551893242,-3.30477229115897,66,49,57,45
"1227",1227,"170",1.50285093769795,0.990096324963849,0.960955574446579,0.963565449933789,1.50962083182766,1.50032768912628,1.50378684799753,-3.27535528698857,-2.9407339486828,-2.33236241951738,40,35,34,31
"1228",1228,"171",1.46057391719734,1.05154220995426,1.35331071899446,1.05140567457417,1.45822942876597,1.46130807434464,1.46717495520575,-3.13829563196081,-1.30381314236459,-2.63591392645608,65,53,59,48
"1229",1229,"172",1.21033528176434,0.870023274440766,1.305286908549,0.888672808883846,1.21916975920331,1.2162494163963,1.21596229788675,-2.38314706574372,0.951196605263895,-1.88602783221996,52,40,46,37
"1230",1230,"173",0.852355831654971,0.942088293890538,0.946844323952858,0.999085229638755,0.854645788421393,0.848244861713143,0.845904449794525,1.0757142234188,1.05516604373273,1.33290928681286,28,23,22,20
"1231",1231,"174",1.65657135404828,0.928065612040265,0.943899739883096,0.943899739883096,1.6565748202402,1.67076651214287,1.6590689843562,-5.50918742631711,-3.38627497518579,-3.06207562456104,37,36,34,34
"1232",1232,"175",1.80063863794993,1.18823096177929,1.18823096177929,1.18823096177929,1.80770890396889,1.80694669144461,1.80084101239179,-4.40795899914007,-4.38476490901711,-3.95322163832446,42,40,40,40
