"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"18407",18407,"100",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18408",18408,"101",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18518",18518,"102",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18519",18519,"103",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18520",18520,"104",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18521",18521,"105",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18523",18523,"106",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18524",18524,"107",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18525",18525,"108",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18526",18526,"109",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18527",18527,"110",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18528",18528,"111",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18529",18529,"112",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18530",18530,"113",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18531",18531,"114",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18532",18532,"115",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18533",18533,"116",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18534",18534,"117",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18735",18735,"118",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18736",18736,"119",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18737",18737,"120",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18738",18738,"121",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"18739",18739,"122",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"18766",18766,"123",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18767",18767,"124",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18768",18768,"125",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18769",18769,"126",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18770",18770,"127",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18879",18879,"128",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18880",18880,"129",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18881",18881,"130",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18884",18884,"131",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18885",18885,"132",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18886",18886,"133",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18887",18887,"134",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18888",18888,"135",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18889",18889,"136",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18890",18890,"137",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"18891",18891,"138",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18892",18892,"139",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18893",18893,"140",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18894",18894,"141",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18895",18895,"142",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"18896",18896,"143",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19096",19096,"144",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19097",19097,"145",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19098",19098,"146",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19099",19099,"147",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19100",19100,"148",0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,NA,NA,NA,3,3,3,3
"19101",19101,"149",0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,NA,NA,NA,3,3,3,3
"19102",19102,"150",1.47247821943811,1.47247821943811,1.47247821943811,1.47247821943811,1.47247821943811,1.47247821943811,1.47247821943811,NA,NA,NA,5,5,5,5
"19103",19103,"151",0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,NA,NA,NA,3,3,3,3
"19127",19127,"152",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19128",19128,"153",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19129",19129,"154",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19130",19130,"155",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19131",19131,"156",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19240",19240,"157",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19241",19241,"158",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19242",19242,"159",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19245",19245,"160",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19246",19246,"161",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19247",19247,"162",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19248",19248,"163",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19249",19249,"164",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19250",19250,"165",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19251",19251,"166",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19252",19252,"167",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19253",19253,"168",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19254",19254,"169",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19255",19255,"170",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19256",19256,"171",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19257",19257,"172",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19458",19458,"173",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19459",19459,"174",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19460",19460,"175",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19461",19461,"176",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19462",19462,"177",0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,NA,NA,NA,3,3,3,3
"19463",19463,"178",0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,0.869842553908512,NA,NA,NA,3,3,3,3
"19464",19464,"179",1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,NA,NA,NA,6,6,6,6
"19487",19487,"180",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19488",19488,"181",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19489",19489,"182",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19602",19602,"183",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19603",19603,"184",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19606",19606,"185",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19607",19607,"186",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19608",19608,"187",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19609",19609,"188",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19610",19610,"189",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19611",19611,"190",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
